AuthId 3
AuthName "jordan"
Name "Shazel"
TitleCommon "Powerful"
TitleOrigin "Accomplished"
Description "Shazel is a demon princess, but that doesn\st mean she was given respect. Just because her father is 417 years old and she only 18, everyone treated her like a little child. So one day she snuck out and followed a behemoth lord through a portal not caring where it led. She found herself in a dark alley of Paragon city surrounded by curious humans in cloaks with gaping mouths at the site of her. At that moment, a raid by what Shazel later learned were human-world heroes left the Circle of Thorn with little time to ask her questions. Not knowing who or what she was, the heroes assumed she was a captive and took her back to Paragon city where they quickly learned of her powers and brought her to Hero registration to begin training. Shazel has never had so much fun in her life.s"
Origin "natural"
Class "class_blaster"
InfluencePoints 56992391
ExperiencePoints 39149119
Ents2[0].SalvageInvTotal 49
Ents2[0].StoredSalvageInvTotal 47
Ents2[0].RecipeInvTotal 18
InvSalvage0[0].S_Ruby 2
InvSalvage0[0].S_DemonicThreatReport 1
InvSalvage0[0].S_Destiny 1
InvSalvage0[0].S_VanguardMerit 13
InvSalvage0[0].S_MeritReward 22
InvSalvage0[0].S_InventionDiscountCoupon 10
InvSalvage0[0].S_ArchitectTicket 1866
InvStoredSalvage0[0].S_MutantDNAStrand 1
InvStoredSalvage0[0].S_Steel 1
Endurance 100
HitPoints 1204.76
Ents2[0].MaxHitPoints 1204.76
ColorSkin -16745025
BodyType 1
Appearance[0].BodyType 1
Appearance[0].ColorSkin -16745025
Appearance[0].ConvertedScale 1
Appearance[0].BodyScale -3.10535
BodyScale -3.10535
Appearance[0].BoneScale -1
BoneScale -1
Appearance[0].ShoulderScale -1
Appearance[0].ChestScale -1
Appearance[0].WaistScale -0.343441
Appearance[0].HipScale -1
Appearance[0].LegScale 7e-005
Appearance[0].HeadScales 9807394
Appearance[0].BrowScales 13148450
Appearance[0].CheekScales 1121317
Appearance[0].ChinScales 58596
Appearance[0].CraniumScales 10223688
Appearance[0].JawScales 15000774
Appearance[0].NoseScales 12878754
CostumeParts[0].Geom "Tight"
CostumeParts[0].Tex1 "tights"
CostumeParts[0].Tex2 "none"
CostumeParts[0].Color1 170
CostumeParts[0].Color2 170
CostumeParts[0].Region "Lower Body"
CostumeParts[0].BodySet "Tight"
CostumeParts[1].Geom "Tight"
CostumeParts[1].Tex1 "skin_tights"
CostumeParts[1].Tex2 "!Chest_V_Pattern_Shredded_01"
CostumeParts[1].Color1 170
CostumeParts[1].Color2 65023
CostumeParts[1].Region "Upper Body"
CostumeParts[1].BodySet "Tights/Skin"
CostumeParts[2].Geom "V_fem_Head.GEO/GEO_Head_V_Asym_Standard"
CostumeParts[2].Tex1 "!Face_Skin_V_Fem_Head_42"
CostumeParts[2].Tex2 "!V_Face_Mask_8"
CostumeParts[2].Color1 170
CostumeParts[2].Color2 65023
CostumeParts[2].Region "Head"
CostumeParts[2].BodySet "Standard"
CostumeParts[3].Geom "Tied"
CostumeParts[3].Tex1 "skin_tied_01a"
CostumeParts[3].Tex2 "skin_tied_01b"
CostumeParts[3].Color1 5723991
CostumeParts[3].Color2 65023
CostumeParts[3].Region "Upper Body"
CostumeParts[3].BodySet "Tights/Skin"
CostumeParts[4].Geom "Tied"
CostumeParts[4].Tex1 "skin_tied_01a"
CostumeParts[4].Tex2 "skin_tied_01b"
CostumeParts[4].Color1 5723991
CostumeParts[4].Color2 65023
CostumeParts[4].Region "Lower Body"
CostumeParts[4].BodySet "Tight"
CostumeParts[5].Geom "Tail_03"
CostumeParts[5].Tex1 "Tail_01a"
CostumeParts[5].Tex2 "Tail_01b"
CostumeParts[5].Color1 36052
CostumeParts[5].Color2 22015
CostumeParts[5].Region "Upper Body"
CostumeParts[5].BodySet "Tights/Skin"
CostumeParts[6].Geom "Spiky2"
CostumeParts[6].Tex1 "Style_01a"
CostumeParts[6].Tex2 "Style_01b"
CostumeParts[6].Color1 5045759
CostumeParts[6].Color2 22015
CostumeParts[6].Region "Head"
CostumeParts[6].BodySet "Standard"
CostumeParts[8].Geom "Horn_02"
CostumeParts[8].Tex1 "Horn_01a"
CostumeParts[8].Tex2 "Horn_01b"
CostumeParts[8].Color1 5045759
CostumeParts[8].Color2 4177663
CostumeParts[8].Region "Head"
CostumeParts[8].BodySet "Standard"
CostumeParts[9].Geom "Tight"
CostumeParts[9].Tex1 "base"
CostumeParts[9].Tex2 "Comet_02"
CostumeParts[9].Color1 5045759
CostumeParts[9].Color2 28842
CostumeParts[9].Region "Upper Body"
CostumeParts[9].BodySet "Tights/Skin"
CostumeParts[10].Geom "none"
CostumeParts[10].Tex1 "none"
CostumeParts[10].Tex2 "none"
CostumeParts[10].Region "Upper Body"
CostumeParts[10].BodySet "Tights/Skin"
CostumeParts[13].Geom "none"
CostumeParts[13].Tex1 "none"
CostumeParts[13].Tex2 "none"
CostumeParts[13].Region "Head"
CostumeParts[13].BodySet "Standard"
CostumeParts[17].Geom "none"
CostumeParts[17].Tex1 "!x_burned_wings"
CostumeParts[17].Tex2 "none"
CostumeParts[17].Color1 4177663
CostumeParts[17].Color2 6537408
CostumeParts[17].FxName "GENERIC/FX_wings_Female_Burned_NoAura.fx"
CostumeParts[17].Color3 0
CostumeParts[17].Color4 0
CostumeParts[17].Region "Capes"
CostumeParts[17].BodySet "Wings"
CostumeParts[18].Geom "none"
CostumeParts[18].Tex1 "none"
CostumeParts[18].Tex2 "none"
CostumeParts[18].FxName "Auras/Female/Fire/FireHair.fx"
CostumeParts[18].Color3 0
CostumeParts[18].Color4 0
CostumeParts[18].Region "Special"
CostumeParts[18].BodySet "Fiery"
CostumeParts[22].Geom "V_FEM_CRANIUM.GEO/GEO_Cranium_V_Pointy_Ears_04"
CostumeParts[22].Tex1 "!face_skin_v_head_06"
CostumeParts[22].Tex2 "none"
CostumeParts[22].Color1 36052
CostumeParts[22].Color2 65023
CostumeParts[22].Region "Head"
